,user_id,actual,recomendations
0,1,"[  918733   904375   945779   865891  1113588   921345   941741   936634
  1065593   835788   902192   968687  1096036   901543   928049   843744
  1009200   886481  1023466  1012873   824915  6464056  1044078  1128647
  1116005   870927   844165   859075   955910   943233  9337581  7025203
  1015597  6463464  5995215   845774   969687   881608  1017201  8019716
  1033214   982493   840361   908531   877358  1106301  1034290  1018278
   917839 12301100]","[918733, 904375, 945779, 865891, 1113588]"
1,6,"[  923746   840361   844179  1004906  1044078   899624   833025   908531
   859075  1081177  1038217  5569230  1068719   962568  1096036  1071939
   893018  1106523   916122   961554   847982   866211   831628  1056509
  1133018   910032   854852   848029   828106   999858  1020581 12810393
   983584  1136257  1024306  1049788   845208   896369  1020682   823704
   878996   880150   825343  5592931  1046545  1042907   897125   823990
   863447  1053690]","[923746, 840361, 844179, 1004906, 1044078]"
2,7,"[  840361  1081177   916122  1004906  1133018   965766   844179   913785
   854852  1044078 12810393   930917  1106523   961554  1065593  1045220
   902192   936634  1128647   897954   822407   892008   979707   847982
  1038217 12811532   890695  8090537  1068719   896369  1012873   893729
  1051211  1096036   866211  1113588   844165  1009200   908531   893018
   935284  5995180   946839   887691   909894  1076056   951590  1020581
   847344  1023720]","[840361, 1081177, 916122, 1004906, 1133018]"
3,8,"[  840361   866211  1018007  1006878  7409951  1004906  8273950   854965
  1106523   857503  6533878   897125   846634   878996   873887   897671
  1101980   923746  1136257  1047076   939681  7410344  1075007   826666
  1114811 12324841   983584  1043663  5568661  6534406   862070   858743
  1022984  7410201  1011578   839243   963971   873654  1068832  1134810
  1060673   961554  1135932  1011457  1062572   996070   986187   896958
  1022848   844462]","[840361, 866211, 1018007, 1006878, 7409951]"
4,9,"[12810393  1020581   968072   835922   906844   827656   874972  1096794
  9833277  9296919   940947 12810422   885290   887744 12301405   919963
   944534  1117358 12349795   999639  1054080  1019497  1080581   971922
   844179   916122  9835408   826597   883003   924423  5565356   938596
   839656 12731436   908318  1128333 12811534   914577   879504  1000493
   925694   945294  1104604  1022529   933835  1070702  1101173 12811532
  1015612   821200]","[12810393, 1020581, 968072, 835922, 906844]"
5,13,"[ 840361  916122  987562  933835  961554 1081177  859075 1039156  854852
 1004906 1137775  819978 1087102 1040807  890695  856252  909894 1068719
  979707 5569230  897954  833025  866211  985999  885863  962568  845307
  965693 1138443  845193  883003  995965 1071939 1053690 1043751  913785
 1018740 1006184 1076056  935317 1002558 5568378 1038217  866755  908531
  844179  847982 1049788  834117  914190]","[840361, 916122, 987562, 933835, 961554]"
6,14,"[  907141  1039672   916487   922651   883665  1109249  1022340   876624
  7144136  5591103   870882   919406  1059342  1104481  1020962  9934800
   878775  1120616   881074  1030398   998008  8357418  1043726   941658
   894401   915586  5565265   937928  9420082  7168431  1011427  1134161
   998549  7167836   852600  1005172  9195089   827079   904574  7144134
   955921 12781564  1035880  1010190  1098186   871680  5981267   909268
   972235   972515]","[907141, 1039672, 916487, 922651, 883665]"
7,15,"[ 1106523   923746  1122358  1068719  1094190   951590   960318   866211
  1097001  1133018  1012922   916381  1081177   995628   845208  5569230
  1106116  1056212  1104027  9553397  1042616 12384953   893018  9707240
  5585510 13841744 12523928  1138189  5592610  1021324   840601 12324841
  1101980  1076056  1015296   964521  1050583   840361  5591170   934399
   922636  1059902  9677109 12456589   972665  5569845   851819  1082627
   983584   878996]","[1106523, 923746, 1122358, 1068719, 1094190]"
8,16,"[ 1065593  1041476  1133018  1076056  9420312   844165   840361  1113588
   887691  1096036  1005186   893501  1081177   989249  1074524   918733
  6553737  1053690  1019832   908531  1011300   986912 13381584   967395
  1012873  9526410   893018   889779  1046584  1128647  1110572   840601
   872702   861445   923746   995055  5569230  9526313   858302   863802
   882305  1113651  1001475   972312  9527494  1098910 12670635   902192
   866211  1048462]","[1065593, 1041476, 1133018, 1076056, 9420312]"
9,17,"[ 1126899   840361  1090953  1106064   854852   824305   998843   862732
  8203451   957938  1115576  1012284  1055425   901062  1120443   888233
   854754  1040346   888178   997796  1070820   830503   937614  1070538
   904574   947441 10344585   961554   944836  8293385   944249  1040435
  1077745   961021   893501   962568  1037332  1061614   878996  1010590
  7025490   926763 12673243   970202   880427  9835509  1046816   996277
   977543   894499]","[1126899, 840361, 1090953, 1106064, 854852]"
10,18,"[  893501   840361   868764  1004906   951590   858711  1053690   986187
  1039156  1081177  1121213   916122  1070272   859075  1065593  1068719
 10282046   960318   922651   967395   923746  1027569   863762   882305
   913785 13381584   844165   952972   898867  1020962   985181   981660
  1022097   977854  5569471  5567148   966695  1079228   952317   972515
  1113141  1109374  1114604   979707  5995596   856252   825753   869024
  1036501  1012913]","[893501, 840361, 868764, 1004906, 951590]"
11,19,"[  840361   913785   961554  1081177   916122  1004906   854852   965766
   844179   866211  1068719   847982  1065593   878996   979707  1051211
   962568  1133018   909894   859075   930917  1096036   987562   893018
  1044078   822407   923746   845208  1021116  1045220   980727   999858
  1044805   908531  9526410   959985  1131488  1076056   898068  1024306
   896369  1077555   901062  1048462  5568378  1058997 12810393  9527494
  1023720   873627]","[840361, 913785, 961554, 1081177, 916122]"
12,20,"[ 916122  945805 1011459  951590  822178  842140  823721 1077490 1028891
 1101173  925862  872137  914190  882604  987562  934399  870608 5568191
  883932  890344 1053690  966358  855138 1123254  917857 5592261  890909
 1069003 1068719  960318 7466252  963339  878285 1039672  957839  998008
  957063  902172  999858  846550  838867  979707 5569230 7442008  988508
 6602440  995876  999714  827919  822226]","[916122, 945805, 1011459, 951590, 822178]"
